word,frequency
yield,8
stretched,8
sleeping,8
served,8
skilled,8
shelter,8
piraeus,8
complain,8
avenge,8
ruin,8
feared,8
smote,8
letting,8
sort,8
later,8
hate,8
yonder,8
rise,8
persuade,8
changed,8
laughed,8
catch,8
burnt,8
corn,8
heat,8
lashed,8
rising,8
memory,8
figure,8
rites,8
girded,8
quantity,8
cities,8
quiet,8
mount,8
mortals,8
alike,8
finding,8
woke,8
goodly,8
seized,8
hawsers,8
looks,8
footstool,8
agreed,8
ones,8
joy,8
piteously,8
sky,8
swear,8
stern,7
mixingbowls,7
bitter,7
busy,7
blew,7
fail,7
ewer,7
possible,7
enemies,7
losing,7
comely,7
whoever,7
funeral,7
accomplished,7
tore,7
nymph,7
herds,7
wandering,7
rejoiced,7
summer,7
dare,7
power,7
handsome,7
joined,7
company,7
plant,7
plotting,7
consult,7
grace,7
bethought,7
swim,7
spring,7
fresh,7
prizes,7
garden,7
bird,7
counsels,7
gladly,7
bent,7
tenth,7
handle,7
neighbour,7
entered,7
chance,7
protection,7
quiver,7
flung,7
haste,7
reasonably,7
lifted,7
loved,7
shields,7
purple,7
pavement,7
mantle,7
astonished,7
promised,7
dying,7
parnassus,7
change,7
cicons,7
drop,7
shown,7
directly,7
remained,7
fifty,7
finish,7
prepare,7
mourned,7
dreadful,7
livelong,7
loose,7
evening,7
approved,7
pretty,7
sacrificed,7
older,7
telling,7
win,7
pure,7
exactly,7
omen,7
kings,7
treat,7
distant,7
skill,7
eupeithes,7
twisted,7
sees,7
midst,7
sorts,7
grows,7
assented,7
felt,7
swore,7
main,7
sailing,7
green,7
pain,7
mark,7
slumber,7
returning,7
vouchsafe,7
everlasting,7
narrow,7
suffer,7
ashes,7
difficulty,7
prowess,7
feasted,7
burned,7
meeting,7
magnificent,7
fed,7
goods,7
gateway,7
bind,7
marvelled,7
finest,7
mix,7
beam,7
protect,7
usual,7
proper,7
chains,7
ivory,7
enjoy,7
blue,7
solemn,7
join,7
lair,7
rain,7
murder,7
trust,7
quickly,7
ocean,7
apart,7
bearingpost,7
fleece,7
dismay,7
altar,7
fetched,7
weep,7
moon,7
taste,7
follow,7
inward,7
rugs,7
nights,7
firewood,7
brooding,7
use,7
few,7
breast,7
hence,7
happiness,7
provisions,7
press,7
tired,6
hurt,6
travel,6
hot,6
fig,6
ambuscade,6
grove,6
touched,6
sacrificing,6
woollen,6
birth,6
crowd,6
bottom,6
respectable,6
antiphates,6
settle,6
charybdis,6
virtue,6
milked,6
torn,6
disguised,6
aside,6
euryalus,6
omens,6
aeaean,6
amphimedon,6
hunting,6
pick,6
refuse,6
hounds,6
hereafter,6
begged,6
victims,6
continue,6
pall,6
