word,frequency
fall,5
bible,5
crowded,5
ashes,5
acting,5
 said,5
 not,5
 take,5
forward,5
power,5
themselves,5
f,5
caseknife,5
lecture,5
yarn,5
hamlet,5
racket,5
corpse,5
rattlesnake,5
chains,5
boards,5
ridge,5
pig,5
bundle,5
dern,5
awluz,5
nail,5
shining,5
stared,5
breathe,5
london,5
diseased,5
several,5
wheel,5
dodged,5
sober,5
murder,5
boss,5
maynt,5
forehead,5
 at,5
heap,5
bullet,5
neighbors,5
 theyve,5
hairy,5
dumb,5
levi,5
haul,5
gives,5
hug,5
farmers,5
hisn,5
duty,5
cash,5
changing,5
slick,5
hotchkiss,5
 den,5
trash,5
brash,5
rascal,5
islan,5
itand,5
feet,5
double,5
finding,5
hit,5
thered,5
lowed,5
 id,5
leaving,5
stream,5
sore,5
kyer,5
swear,5
sin,5
cornpone,5
twas,5
pleased,5
ear,5
rafts,5
amen,5
point,5
murdered,5
brush,5
shant,5
squeeze,5
bacon,4
fingers,4
skasely,4
travel,4
silver,4
spinning,4
needed,4
rusty,4
shall,4
scream,4
came,4
cler,4
xvi,4
lift,4
han,4
prison,4
tame,4
smashed,4
smelt,4
twentyfive,4
cincinnati,4
falling,4
wicked,4
steamboats,4
sheffield,4
spanish,4
williams,4
buried,4
printed,4
average,4
drive,4
temperance,4
balum,4
driftwood,4
pewter,4
scrape,4
satisfactory,4
burning,4
gliding,4
dirty,4
sobbing,4
smile,4
stabboard,4
joined,4
diningroom,4
waves,4
pans,4
trade,4
harrow,4
upstairs,4
cover,4
dragged,4
aground,4
coward,4
knowing,4
windowhole,4
resting,4
leaning,4
stack,4
cabins,4
ashhopper,4
yelled,4
actuly,4
lane,4
marry,4
indian,4
tools,4
pencil,4
carrying,4
scare,4
owned,4
brer,4
riding,4
ohio,4
swarmed,4
hasnt,4
generous,4
stooped,4
oldest,4
wagons,4
genies,4
tole,4
daughter,4
tryin,4
boats,4
lap,4
las,4
reasonable,4
sliding,4
chased,4
tackled,4
nostrils,4
cattle,4
miserable,4
considerble,4
fess,4
